SEI,Modalidade,Criação,ETP,CLIC,Situação,Objeto,Demandante,Conclusão
019798/2021-28,Pregão,19/04/2021,24/05/2021,24/05/2021,Homologado,Material,CLIC,05/08/21
019811/2021-49,Pregão,19/04/2021,26/07/2021,26/07/2021,Homologado,Serviço,CLIC,03/11/21
019687/2021-11,Pregão,19/04/2021,28/07/2021,04/08/2021,Homologado,Material,SUINFRA,19/11/21
020231/2021-02,Pregão,22/04/2021,25/11/2021,14/11/2021,Homologado,Serviço,CLOG,05/01/22
022752/2021-96,Pregão,04/05/2021,09/08/2021,10/08/2021,Homologado,Material,CLIC,08/12/21
022753/2021-31,Pregão,04/05/2021,20/09/2021,21/09/2021,Homologado,Material,CLIC,20/05/22
022754/2021-85,Pregão,04/05/2021,04/02/2022,07/02/2022,Homologado,Material,CLIC,18/07/22
023268/2021-84,Pregão,06/05/2021,28/05/2021,09/06/2021,Homologado,Material,SUINFRA,01/09/21
023271/2021-06,Pregão,06/05/2021,02/06/2021,09/06/2021,Homologado,Material,SUINFRA,19/11/21
023782/2021-10,Pregão,10/05/2021,04/04/2022,05/04/2022,Homologado,Serviço,AGTIC,04/05/22
024474/2021-10,Pregão,12/05/2021,24/06/2021,09/07/2021,Homologado,Material,SUINFRA,21/10/21
024452/2021-41,Pregão,12/05/2021,24/09/2021,29/09/2021,Homologado,Material,SUINFRA,14/01/22
025610/2021-81,Pregão,18/05/2021,08/06/2021,22/06/2021,Homologado,Material,CT,25/11/21
025867/2021-32,Pregão,19/05/2021,17/06/2021,22/06/2021,Homologado,Material,SA ,30/08/21
027519/2021-08,Pregão,27/05/2021,09/07/2021,12/07/2021,Homologado,Material,BL,26/10/21
027844/2021-62,Pregão,28/05/2021,13/07/2021,10/08/2021,Homologado,Material,PALOTINA,12/11/21
029420/2021-32,Pregão,08/06/2021,17/08/2021,19/08/2021,Deserto,Material,CLIC,28/09/21
029415/2021-20,Pregão,08/06/2021,06/10/2021,07/10/2021,Homologado,Material,CLIC,17/03/22
029404/2021-40,Pregão,08/06/2021,13/06/2022,14/06/2022,Homologado,Material,CLIC,08/12/22
029811/2021-57,Pregão,09/06/2021,11/08/2021,11/08/2021,Fracassado,Serviço,RU,20/09/21
031532/2021-53,Pregão,17/06/2021,22/11/2021,25/02/2022,Homologado,Material,AGTIC,21/06/22
032056/2021-98,Pregão,21/06/2021,22/09/2021,24/09/2021,Homologado,Serviço,SUINFRA,19/11/21
033846/2021-91,Pregão,01/07/2021,09/07/2021,12/07/2021,Homologado,Material,CLIC,23/08/21
034115/2021-62,Pregão,02/07/2021,03/03/2023,07/03/2023,Homologado,Material,SUINFRA,15/08/23
034106/2021-71,Pregão,02/07/2021,03/03/2023,07/03/2023,Homologado,Material,SUINFRA,14/07/23
034099/2021-16,Pregão,02/07/2021,03/03/2023,08/03/2023,Homologado,Material,SUINFRA,21/07/23
034116/2021-15,Pregão,02/07/2021,09/03/2023,13/03/2023,Homologado,Material,SUINFRA,10/08/23
034348/2021-65,Pregão,05/07/2021,20/08/2021,24/08/2021,Homologado,Material,AG,01/10/21
035213/2021-17,Pregão,08/07/2021,09/08/2021,09/08/2021,Homologado,Material,ALMOX,25/11/21
035221/2021-63,Pregão,08/07/2021,06/10/2021,10/08/2021,Homologado,Material,ALMOX,08/12/21
036144/2021-69,RDC,13/07/2021,09/11/2022,09/11/2022,Homologado,Obra,SUINFRA,02/06/23
036702/2021-96,Pregão,16/07/2021,03/09/2021,13/09/2021,Homologado,Material,SD,12/01/22
036837/2021-51 ,Pregão,16/07/2021,23/09/2021,23/09/2021,Homologado,Material,CLIC,03/02/22
036838/2021-04,Pregão,16/07/2021,01/12/2021,01/12/2021,Homologado,Material,CLIC,29/04/22
038784/2021-11,Pregão,20/07/2021,09/09/2021,14/09/2021,Homologado,Material,SUINFRA,08/12/21
037219/2021-29,Pregão,20/07/2021,23/09/2021,23/09/2021,Homologado,Material,BL,23/12/21
037395/2021-61,Pregão,21/07/2021,20/12/2021,10/12/2021,Homologado,Material,SD,11/05/22
038834/2021-52,Pregão,28/07/2021,09/08/2021,10/08/2021,Homologado,Material,ALMOX,23/11/21
039142/2021-21,Pregão,30/07/2021,05/11/2021,05/11/2021,Homologado,Serviço,CLIC,25/01/22
039483/2021-05,Pregão,02/08/2021,30/09/2021,07/10/2021,Homologado,Material,SIPAD,04/01/22
040834/2021-12,Pregão,09/08/2021,13/09/2021,16/09/2021,Fracassado,Material,CPP-CEM,13/01/22
041118/2021-52,Pregão,11/08/2021,19/10/2021,22/12/2021,Homologado,Serviço,CLIC,30/01/22
041165/2021-04,Pregão,11/08/2021,12/07/2022,12/07/2022,Homologado,Serviço,CENTRAN,26/09/22
041461/2021-05,Pregão,12/08/2021,19/10/2021,21/10/2021,Homologado,Material,PALOTINA,16/03/22
041496/2021-36,Pregão,12/08/2021,11/03/2022,28/03/2022,Homologado,Serviço,AG,13/06/22
042289/2021-07,Pregão,17/08/2021,02/09/2021,24/09/2021,Homologado,Material,PALOTINA,05/02/22
042514/2021-05,Pregão,18/08/2021,22/11/2021,13/09/2021,Homologado,Material,AG,04/01/22
045768/2021-77,Pregão,27/08/2021,10/12/2021,03/01/2022,Homologado,Material,SUINFRA,15/09/22
045982/2021-23,Pregão,30/08/2021,24/11/2021,24/11/2021,Homologado,Serviço,CPP-CEM,21/12/21
046856/2021-96,Pregão,01/09/2021,05/11/2021,10/11/2021,Homologado,Material,SUINFRA,24/06/22
047049/2021-91,Pregão,01/09/2021,29/11/2021,05/11/2021,Homologado,Material,PALOTINA,26/05/22
047450/2021-21,Pregão,03/09/2021,01/12/2022,06/12/2022,Homologado,Serviço,BL,08/02/23
048372/2021-81,Pregão,09/09/2021,06/10/2021,15/10/2021,Homologado,Material,ALMOX,26/01/22
049117/2021-56,Pregão,13/09/2021,19/10/2021,21/10/2021,Homologado,Material,ALMOX,25/01/22
051838/2021-26,Pregão,20/09/2021,05/01/2022,05/01/2022,Homologado,Serviço,CLIC,04/04/22
054600/2021-52,Pregão,29/09/2021,12/11/2021,22/11/2021,Homologado,Material,SUINFRA,05/04/22
054595/2021-88,Pregão,29/09/2021,10/11/2021,19/11/2021,Homologado,Material,SUINFRA,22/03/22
055170/2021-96,Pregão,30/09/2021,27/12/2021,25/01/2022,Homologado,Material,PROGEPE,22/07/22
057843/2021-42,Pregão,08/10/2021,14/10/2021,14/10/2021,Homologado,Material,CLIC,11/11/21
057842/2021-06,Pregão,08/10/2021,05/04/2022,30/05/2022,Homologado,Serviço,CLOG,12/07/22
059084/2021-52,Pregão,15/10/2021,05/11/2021,05/11/2021,Homologado,Material,ALMOX,02/05/22
